.db,11
.TXT,456
.dcu,3
.pas,55
.bas,1
.fsb,1
.s3m,3
.BAT,3
.dpr,7
.dfm,4
.res,3
.frm,1
.vbp,1
.HLP,1
.hog,1
.asp,1
.hm,1
.rc2,16
.cnt,1
.hpj,1
.htm,14
.BMP,19
.def,19
.msg,127
.DEF,2
.MSG,1
.str,49
.ogf,34
.oaf,3
.d3l,4
.STR,8
.omf,1
.osf,1
.msn,3
.loc,1
.ng,460
.mng,6
.MAP,1
.C,171
.vs,82
.ffe,3
.mdl,25
.igc,1
.rgs,71
.idl,11
.rc3,1
.CPP,1
.H,125
.RC,3
.hxx,2
.a,3
.so,10
.dylib,4
.reg,1
.vbs,9
.xaml,54
.resx,13
.settings,4
.aps,3
.pig,41
.map,774
.njsproj,1
.xls,2
.tlb,1
.LPK,1
.CAB,1
.bin,20
.CF,1
.PI,1
.PR,1
.PS,1
.WK,1
.doc,9
.hOld,1
.vcproj,117
.fl,11
.xib,7
.checklist,1
.cachegrind,1
.gdb,1
.valgrind,1
.tlk,2
.mus,2
.ids,36
.are,2
.bcs,12
.mos,4
.tis,2
.WED,1
.wed,1
.2da,569
.bam,44
.BAM,2
.itm,2
.gam,1
.chu,18
.PVRZ,7
.cre,4
.dlg,1
.wmp,1
.baf,4
.d,2
.vvc,59
.pro,1293
.spl,134
.eff,3
.mk,207
.java,329
.strings,1
.newinstall,1
.enc,2
.supp,3
.gorilla,1
.mesh,350
.scene,2
.particle,7
.material,56
.overlay,16
.ICO,3
.S,58
.qrc,1
.qss,1
.aif,2
.tiff,1
.el,1
.lmp,1
.LICENSE,4
.sf2,3
.DLL,1
.wad,1
.WAD,1
.example,1
.it,15
.kv6,48
.pmf,28
.vxl,3
.RAW,1
.DOC,1
.pov,48
.tps,3
.properties,14
.sbt,1
.aup,1
.ltr,1
.au,2
.sql,1
.webmanifest,1
.scala,28
.manifest,10
.cc,96
.gradle,9
.jks,1
.tzod,70
.gen,2
.dox,16
.less,1
.ac,2
.cbproj,3
.groupproj,1
.pump,4
.xcconfig,6
.pc,1
.com,1
.3,1
.pup,1
.sas,1
.clp,1
.contrib,1
.adb,7
.ads,3
.gpr,1
.586,1
.686,1
.pk,1
.mak,22
.build,1
.raw,91
.msc,4
.examples,1
.bor,2
.dj2,1
.emx,2
.tc,1
.mms,1
.riscos,1
.os2,2
.projects,1
.qpg,1
.gcc,1
.inl,4
.storyboard,4
.xcworkspacedata,1
.cmd,12
.appxmanifest,1
.pfx,1
.cs-script,5
.dds,355
.glcompute,1
.projitems,2
.librelancer-uiproj,1
.FAQ,1
.README,1
.cicn,16
.xm,18
.aseprite,4
.png~,1
.pdn,4
.bab,507
.replay,431
.atlas,1
.theme,14
.list,7
.llinc,85
.llasm,52
.INI,1
.win32,4
.standalone,1
.ref,20
.sci,279
.guess,1
.sub,1
.Sref,3
.mdx,10
.patch,18
.aac,1
.data,1
.markdown,1
.fsl,76
.dae,11
.lpi,8
.lpr,8
.version,8
.lfm,9
.ressource,2
.plantuml,3
.lrs,1
.tmx,5
.card,1
.col,26
.ruleset,2
.nuspec,1
.osu,132
.osb,11
.osz,6
.osk,25
.osr,4
.DotSettings,4
.txi,6
.sed,6
.pubxml,3
.pyr,9
.ser,4
.vsp,4
.PNG,1216
.vgm,2
.MOD,1
.VSP,1
.pot,3
.mo,22
.afl,4
.fixed,6
.cg,24
.os,2
.compositor,2
.program,56
.layout,14
.fontdef,5
.hdx,1
.odef,256
.skeleton,1
.skx,2
.fragment,91
.vertex,73
.soundscript,1
.WAV,6
.keystore,1
.jsm,6
.cred,1
.qm,3
.rec,1
.latin,1
.hh,2
.y,8
.flex,3
.webp,13
.pica,1
.rsf,1
.syms,2
.x,1
.grit,1
.T,1
.common,2
.dirs,2
.N64,1
.spec,8
.PSP,1
.MIYOO,1
.BUILD,1
.OPENDINGUX,1
.SWITCH,1
.ld,6
.engine,110
.dta,2
.hed,1
.cld,6
.evt,1
.mob,1
.swd,1
.ext,1
.cif,7
.CIF,3
.his,1
.cbp,2
.natvis,1
.doc-en,2
.inf-en,2
.015-en,1
.027-en,1
.028-en,1
.doc-it,1
.inf-it,1
.dtd,14
.TIF,18
.vga,10
.caf,28
.scifx,2
.dic,2
.rexx,2
.PVR,1
.install,2
.docs,1
.manpages,1
.menu,1
.lab,1
.m4b,1
.cpt,1
.patchr,33
.mo3,1
.car,2
.xcprivacy,2
.idb,4
.pem,1
.service,1
.servicedesktop,1
.servicewrapper,1
.wrapper,1
.miyoo,1
.xsd,1
.SlackBuild,1
.Roland_SC-55,1
.iss,1
.doxyfile,2
.l,4
.lingo,34
.xbm,2
.r,2
.stx,8
.mplus,1
.ScummVM,1
.Apache,1
.BSD,1
.BSL,1
.FREEFONT,1
.GLAD,1
.ISC,1
.LGPL,1
.LUA,55
.MIT,1
.MKV,1
.MPL,1
.OFL,1
.TINYGL,1
.tpl,4
.bcc32,1
.msvc,1
.unix,2
.qml,24
.nyan,1
.sprite,5
.texture,6
.terrain,2
.oac,1
.uxf,10
.ggb,3
.hexpat,3
.gdbinit,1
.0,1
.nix,2
.pyx,32
.pxd,12
.2204,1
.ilk,2
.exp,1
.ps,28
.BGI,1
.CHR,1
.EXE,1
.elm,40
.ino,1
.ipynb,1
.scad,62
.lm,1
.log_pronounce,1
.sent,1
.vocab,1
.MF,1
.o,2
.sdf,3
.entitlements,2
.mkf,1
.project,1
.nsh,35
.gd,405
.tscn,345
.gdshader,5
.import,1300
.meshlib,4
.depren,4
.tres,55
.783224884_cdtBuildSystem,1
.externalSettings,1
.gfx,1
.asctxt,4716
.pal,2
.clients,1
.pcx,619
.ascmapxlat,1
.de_DE,86
.en_EN,60
.fr_FR,66
.asccampaign,4
.en_US,18
.ascgui,15
.veh,3
.VEH,3
.set,8
.zargo,1
.de_de,1
.fr_fr,1
.versionmerge,1
.bpf,17
.bpr,17
.gp,11
.tgt,47
.wpj,16
.preformatted,1
.bcc,2
.texi,1
.ASC,2
.PROBLEMS,1
.lb1,2
.dev,2
.deps,1
.doxy,1
.tmpl,2
.i,3
.sav,1
.form,2
.vw3d,69
.crt,1
.reapeaks,1
.dist,1
.xscn,91
.xl,14
.sc,18
.ps1,1
.weak,162
.simd,1
